"event_id","sport_name","pre_play_turnover","in_play_turnover"
"2.100602883","Cricket",5008.28,984.74
"2.100602884","Cricket",716.65,814.13
"2.100602888","Cricket",14514.43,412.47
"2.100602889","Cricket",4059.9,186700.72
"2.100602917","Cricket",12040.64,4451.78
"2.100602918","Cricket",384.48,123.5
"2.100602919","Cricket",484.18,130
"2.100602920","Cricket",1169.1,16
"2.100602923","Cricket",41.12,271.6
"2.100602924","Cricket",623.86,3.1
"2.100602959","Cricket",281.06,1734.98
"2.100602970","Cricket",6.54,200.96
"2.100602982","Cricket",119.76,100
"2.100602984","Soccer",16056.72,11174.16
"2.100602985","Soccer",3526.13,1366.79
"2.100602986","Soccer",377.6,7563.98
"2.100602987","Soccer",7237.58,2840.58
"2.100602988","Soccer",938.92,281.14
"2.100602989","Soccer",77.87,1058.27
"2.100602991","Soccer",2502.38,1477.86
"2.100602992","Soccer",440.66,611
"2.100602996","Soccer",266.09,8.27
"2.100602997","Soccer",1638.73,171.91
"2.100603012","Soccer",711.87,1113.13
"2.100603050","Soccer",53471.81,67248.29
"2.100603051","Soccer",2403.03,2665.43
"2.100603052","Soccer",2371.17,23503.71
"2.100603053","Soccer",9719.47,37164.95
"2.100603054","Soccer",1012.84,6482.08
"2.100603055","Soccer",2924.1,6896.58
"2.100603057","Soccer",1737.66,2295.14
"2.100603058","Soccer",971.62,712.74
"2.100603059","Soccer",10.8,15.28
"2.100603061","Soccer",369.42,1135.06
"2.100603062","Soccer",1374.53,220.17
"2.100603064","Soccer",50.22,200
"2.100603074","Soccer",195.86,186.58
"2.100603075","Soccer",1717.94,146.66
"2.100603078","Soccer",1178.61,371.83
"2.100603082","Soccer",2077.22,16.34
"2.100603182","Tennis",44030.72,1329024.06
"2.100603183","Tennis",5276.36,2225.44
"2.100603184","Tennis",59.23,1188.83
"2.100603185","Tennis",115.59,2739.41
"2.100603188","Tennis",1170.26,139
"2.100603195","Tennis",3.17,3.17
"2.100603197","Tennis",3.17,3.17
"2.100603198","Tennis",3.17,3.17
"2.100603200","Tennis",3.17,3.17
"2.100603203","Tennis",99989.52,1676967.6
"2.100603204","Tennis",13853.72,861.04
"2.100603205","Tennis",258.62,8138.6
"2.100603206","Tennis",115.81,4381.49
"2.100603208","Tennis",705.25,179.73
"2.100603209","Tennis",431.95,63.17
"2.100603212","Tennis",6.41,953.33
"2.100603216","Tennis",3.17,3.17
"2.100603217","Tennis",2.43,2.43
"2.100603219","Tennis",3.17,3.17
"2.100603220","Tennis",3.17,3.17
"2.100603222","Soccer",47773.26,80686.82
"2.100603223","Soccer",4028.67,5132.55
"2.100603224","Soccer",2900.06,7507.66
"2.100603225","Soccer",14842.62,37124.6
"2.100603226","Soccer",3233.74,12883.86
"2.100603227","Soccer",6146.18,27160.08
"2.100603229","Soccer",1094.39,3641.95
"2.100603230","Soccer",501.14,952.12
"2.100603233","Soccer",211.46,713.46
"2.100603234","Soccer",14976.86,13506.66
"2.100603235","Soccer",8539.1,1269.52
"2.100603236","Soccer",946.48,7.58
"2.100603244","Soccer",197.7,9.88
"2.100603246","Soccer",1274.7,1629.84
"2.100603247","Soccer",41354,503.76
"2.100603251","Soccer",26.32,36.5
"2.100603254","Soccer",7269.62,5.08
"2.100603288","Soccer",58820.31,23895.19
"2.100603289","Soccer",999.76,216.22
"2.100603290","Soccer",899.8,965.5
"2.100603291","Soccer",5763.64,3441.78
