latitude,longitude,city,region_name,country_name,sport_name,number_of_customers
-32.9252,151.7372,Broadmeadow,New South Wales,Australia,Soccer,19
-38.3667,142.4500,Warrnambool,Victoria,Australia,Australian Rules,32
-34.8793,138.6356,Klemzig,South Australia,Australia,Australian Rules,66
-33.9363,151.1482,Arncliffe,New South Wales,Australia,Rugby League,71
-43.5565,172.6024,Christchurch,Canterbury,New Zealand,Cricket,30
-33.7333,151.1000,Normanhurst,New South Wales,Australia,Soccer,22
-37.7853,175.2802,Hamilton,Waikato,New Zealand,Tennis,45
-41.1750,174.8503,Wellington,Wellington,New Zealand,Soccer,16
-34.7333,138.6500,Elizabeth,South Australia,Australia,Cricket,26
-37.9058,145.0067,Brighton Beach,Victoria,Australia,Rugby League,65
-37.7909,145.0939,Balwyn North,Victoria,Australia,Australian Rules,101
-33.9190,151.0894,Belmore,New South Wales,Australia,Rugby Union,33
-41.3872,147.1333,Mayfield,Tasmania,Australia,Rugby League,19
-33.9385,150.8488,Carnes Hill,New South Wales,Australia,Soccer,28
-33.0333,151.6667,Belmont,New South Wales,Australia,Australian Rules,24
-41.5710,147.2474,Evandale,Tasmania,Australia,Soccer,3
-27.1575,152.9576,Burpengary,Queensland,Australia,Tennis,65
-37.9367,145.0342,Moorabbin,Victoria,Australia,Rugby Union,23
-28.0215,153.3664,Carrara,Queensland,Australia,Soccer,14
-34.7006,138.7096,Craigmore,South Australia,Australia,Soccer,14
-33.8866,150.9480,Canley Vale,New South Wales,Australia,Tennis,2
-38.2654,144.5147,Barwon Heads,Victoria,Australia,Cricket,26
-33.8429,151.1107,Concord,New South Wales,Australia,Cricket,66
-27.4673,153.0732,Morningside,Queensland,Australia,Rugby Union,6
-38.1392,145.2684,Cranbourne,Victoria,Australia,Rugby Union,23
-33.2413,151.4756,Woongarrah,New South Wales,Australia,Rugby League,18
-41.1603,146.1824,Ulverstone,Tasmania,Australia,Tennis,12
-32.2210,116.0090,Byford,Western Australia,Australia,Soccer,22
-33.9668,151.0833,Penshurst,New South Wales,Australia,Cricket,64
-33.8675,151.1291,Five Dock,New South Wales,Australia,Cricket,19
-27.4333,153.0333,Windsor,Queensland,Australia,Soccer,47
-38.2168,144.2833,Waurn Ponds,Victoria,Australia,Rugby League,1
-45.9059,170.4912,Dunedin,Otago,New Zealand,Soccer,29
-33.8941,151.1642,Stanmore,New South Wales,Australia,Rugby League,153
-35.1339,139.3678,Murray Bridge,South Australia,Australia,Tennis,18
-37.8333,145.0167,Hawthorn West,Victoria,Australia,Soccer,33
-41.5606,146.8255,Westbury,Tasmania,Australia,Tennis,3
-33.8915,151.1382,Summer Hill,New South Wales,Australia,Cricket,15
-27.2333,152.9833,Dakabin,Queensland,Australia,Rugby League,13
-31.8550,115.8399,Balga,Western Australia,Australia,Australian Rules,100
-42.8795,147.3190,Sandy Bay,Tasmania,Australia,Rugby League,23
-37.8448,144.9633,Albert Park,Victoria,Australia,Cricket,15
-33.7588,150.9929,Baulkham Hills,New South Wales,Australia,Australian Rules,173
-27.5167,153.2500,Wellington Point,Queensland,Australia,Tennis,29
-37.7168,145.1167,Greensborough,Victoria,Australia,Australian Rules,83
-38.1392,145.2684,Botanic Ridge,Victoria,Australia,Tennis,5
-38.6673,178.0286,Gisborne,Gisborne,New Zealand,Cricket,14
-37.8296,145.0175,Richmond,Victoria,Australia,Tennis,283
-34.0333,151.1000,Miranda,New South Wales,Australia,Soccer,79
-33.4333,151.3667,Spring Field,New South Wales,Australia,Rugby League,2
-27.8167,153.3000,Pimpama,Queensland,Australia,Soccer,16
-34.9800,138.5738,Edwardstown,South Australia,Australia,Tennis,35
-34.9668,139.2667,Caloote,South Australia,Australia,Australian Rules,2
-34.8917,138.5773,Renown Park,South Australia,Australia,Soccer,5
-34.0044,150.7725,Catherine Field,New South Wales,Australia,Cricket,4
-27.6633,153.0038,Forestdale,Queensland,Australia,Cricket,4
-37.8667,144.6667,Tarneit,Victoria,Australia,Cricket,58
-34.0167,151.0333,Woronora Dam,New South Wales,Australia,Rugby Union,7
-37.7759,144.8014,Ardeer,Victoria,Australia,Tennis,8
-37.7667,144.9167,Moonee Ponds,Victoria,Australia,Rugby Union,15
-38.0333,145.2500,Hampton Park,Victoria,Australia,Cricket,41
-41.2881,173.3357,Nelson,Nelson,New Zealand,Tennis,9
-27.5202,153.0278,Brisbane,Queensland,Australia,Rugby Union,28
-27.6500,153.1500,Slacks Creek,Queensland,Australia,Tennis,17
-33.8833,151.1167,Croydon,New South Wales,Australia,Tennis,99
-33.9188,150.8631,Hinchinbrook,New South Wales,Australia,Tennis,29
-34.3333,150.9167,Bulli,New South Wales,Australia,Australian Rules,8
-38.1000,145.9333,Buln Buln,Victoria,Australia,Soccer,2
