calendar_dt,sport_name,turnover_gbp
2013-04-09T00:00:00.0000000,Cricket,647582.432
2013-04-09T00:00:00.0000000,Soccer,210869.7024
2013-04-09T00:00:00.0000000,Tennis,157107.5712
2013-04-10T00:00:00.0000000,Cricket,254675.7568
2013-04-10T00:00:00.0000000,Soccer,218475.3088
2013-04-10T00:00:00.0000000,Tennis,131714.1632
2013-04-11T00:00:00.0000000,Cricket,617711.072
2013-04-11T00:00:00.0000000,Soccer,152686.0352
2013-04-11T00:00:00.0000000,Tennis,109109.952
2013-04-12T00:00:00.0000000,Australian Rules,287107.744
2013-04-12T00:00:00.0000000,Cricket,253100.8832
2013-04-12T00:00:00.0000000,Rugby League,179640.6784
2013-04-12T00:00:00.0000000,Rugby Union,39741.44
2013-04-12T00:00:00.0000000,Soccer,152430.5088
2013-04-12T00:00:00.0000000,Tennis,92655.296
2013-04-13T00:00:00.0000000,Australian Rules,627014.528
2013-04-13T00:00:00.0000000,Cricket,377514.1184
2013-04-13T00:00:00.0000000,Rugby League,281693.0944
2013-04-13T00:00:00.0000000,Rugby Union,120710.0736
2013-04-13T00:00:00.0000000,Soccer,322189.7536
2013-04-13T00:00:00.0000000,Tennis,79328.8512
2013-04-14T00:00:00.0000000,Australian Rules,478672.8448
2013-04-14T00:00:00.0000000,Cricket,589164.352
2013-04-14T00:00:00.0000000,Rugby League,331096.5376
2013-04-14T00:00:00.0000000,Rugby Union,4382.304
2013-04-14T00:00:00.0000000,Soccer,560719.5328
2013-04-14T00:00:00.0000000,Tennis,75421.7664
2013-04-15T00:00:00.0000000,Cricket,244445.024
2013-04-15T00:00:00.0000000,Soccer,114943.3088
2013-04-15T00:00:00.0000000,Tennis,229965.3184
2013-04-16T00:00:00.0000000,Cricket,350810.9632
2013-04-16T00:00:00.0000000,Soccer,143285.3184
2013-04-16T00:00:00.0000000,Tennis,344689.4784
2013-04-17T00:00:00.0000000,Cricket,433418.656
2013-04-17T00:00:00.0000000,Soccer,162580.9856
2013-04-17T00:00:00.0000000,Tennis,433052.8256
2013-04-18T00:00:00.0000000,Cricket,265545.7152
2013-04-18T00:00:00.0000000,Soccer,74187.3152
2013-04-18T00:00:00.0000000,Tennis,317914.7648
2013-04-19T00:00:00.0000000,Australian Rules,214538.3808
2013-04-19T00:00:00.0000000,Cricket,195816.8192
2013-04-19T00:00:00.0000000,Rugby League,309849.9136
2013-04-19T00:00:00.0000000,Rugby Union,69150.688
2013-04-19T00:00:00.0000000,Soccer,110911.0912
2013-04-19T00:00:00.0000000,Tennis,276853.2416
2013-04-20T00:00:00.0000000,Australian Rules,573346.1632
2013-04-20T00:00:00.0000000,Cricket,472654.24
2013-04-20T00:00:00.0000000,Rugby League,23308.3904
2013-04-20T00:00:00.0000000,Rugby Union,133033.1264
2013-04-20T00:00:00.0000000,Soccer,409537.024
2013-04-20T00:00:00.0000000,Tennis,175377.12
2013-04-21T00:00:00.0000000,Australian Rules,386550.6944
2013-04-21T00:00:00.0000000,Cricket,425476.9344
2013-04-21T00:00:00.0000000,Rugby League,17224.0064
2013-04-21T00:00:00.0000000,Rugby Union,559.3088
2013-04-21T00:00:00.0000000,Soccer,479730.5024
2013-04-21T00:00:00.0000000,Tennis,213488.8832
2013-04-22T00:00:00.0000000,Cricket,204138.0672
2013-04-22T00:00:00.0000000,Soccer,334014.2656
2013-04-22T00:00:00.0000000,Tennis,147788.1536
2013-04-23T00:00:00.0000000,Cricket,318769.5232
2013-04-23T00:00:00.0000000,Soccer,141580.5632
2013-04-23T00:00:00.0000000,Tennis,181263.6288
2013-04-24T00:00:00.0000000,Australian Rules,172.768
2013-04-24T00:00:00.0000000,Cricket,191532.0448
2013-04-24T00:00:00.0000000,Soccer,159966.368
2013-04-24T00:00:00.0000000,Tennis,220358.1952
2013-04-25T00:00:00.0000000,Australian Rules,633717.3376
2013-04-25T00:00:00.0000000,Cricket,147509.568
2013-04-25T00:00:00.0000000,Rugby League,256257.6832
2013-04-25T00:00:00.0000000,Soccer,101954.3936
2013-04-25T00:00:00.0000000,Tennis,163104.9856
2013-04-26T00:00:00.0000000,Australian Rules,210005.6448
2013-04-26T00:00:00.0000000,Cricket,216598.0608
2013-04-26T00:00:00.0000000,Rugby League,148436.224
2013-04-26T00:00:00.0000000,Rugby Union,87664
2013-04-26T00:00:00.0000000,Soccer,66812
2013-04-26T00:00:00.0000000,Tennis,214963.3088
2013-04-27T00:00:00.0000000,Australian Rules,593371.7824
2013-04-27T00:00:00.0000000,Cricket,313552.3328
2013-04-27T00:00:00.0000000,Rugby League,158940.1536
2013-04-27T00:00:00.0000000,Rugby Union,119230.6048
2013-04-27T00:00:00.0000000,Soccer,405184.64
2013-04-27T00:00:00.0000000,Tennis,85730.176
2013-04-28T00:00:00.0000000,Australian Rules,397782.272
2013-04-28T00:00:00.0000000,Cricket,353822.3552
2013-04-28T00:00:00.0000000,Rugby League,116081.1136
2013-04-28T00:00:00.0000000,Rugby Union,34662.0544
2013-04-28T00:00:00.0000000,Soccer,451670.656
2013-04-28T00:00:00.0000000,Tennis,99476.0576
2013-04-29T00:00:00.0000000,Cricket,513604.9792
2013-04-29T00:00:00.0000000,Rugby League,165923.1552
